project_id,hist_exchange_rate(usd)
2844658,1.2764695917
2891564,0.9208103131
2687722,1.0
2513762,0.7048797863
3663429,1.0
2836519,1.0
1880636,1.0
721520,1.0
3347126,1.0
1825857,1.0
1750135,1.0
2532998,0.8980691513
1736879,1.0
2044774,1.0
3262071,1.0
3504718,1.0
3417701,1.0
3328033,1.0
2674246,1.3149303008
3682225,111.8852827475
2610479,1.0
3160346,1.2905614881
2155915,1.0
1934212,1.0
3407364,1.0
3343476,0.8354916869
3027127,1.0
2039587,1.0
1237095,1.0
2232174,1.0
3186756,1.0
3423399,1.0
2926605,0.8761938141
2184190,1.0
41594,1.0
3174127,1.0
3418405,1.3022611106
3085116,17.6528624661
2174711,1.0
2286795,1.0
2527598,1.0
2771581,1.0
2030798,1.0
502815,1.0
224870,1.0
3392491,0.8611039352
1835,1.0
2727266,1.0
2338396,1.0
1346813,0.6402116402
393825,0.6231983528
1603405,1.0
2856149,1.0
3308329,1.0
3103766,0.7583601286
1969134,1.0
3482383,1.0
2913216,1.0
92374,1.0
2232289,1.0
3277616,1.0
2347915,1.0
1536277,1.0
3464959,1.0
2774688,20.4399090823
3049892,1.2543268821
1926116,1.2364756294
2612169,1.3129373766
2867042,1.0
3434079,19.3105235874
2803650,1.0
14930,1.0
1506342,1.0
735965,1.1185983827
3336804,1.0
3525154,1.3972444444
3217763,1.0
352657,1.0
2253767,1.0
2531229,0.7297126333
2644033,1.0
3442845,0.7686181662
111377,1.0
2087270,1.0
3660537,1.0
3707018,1.0
1992995,1.0
3705855,0.768032057
3330383,1.0
3382581,1.0
3479014,1.3712348071
3435589,1.0
859701,1.1042210618
3021903,0.8762705924
3089871,1.0
511028,1.0
1375904,1.0
120122,1.0
3704010,1.0
3320741,1.0
959976,1.0
3369200,1.0
3128744,0.7458052977
2778703,1.0
1351176,1.0
2523752,1.0
3193653,0.8419634588
769458,1.0
703684,1.0
1298995,1.0
3002464,1.0
311416,1.0
3373563,1.0
557752,1.0
1066548,0.5994167352
3075842,1.0
64077,1.0
1481154,0.6385346438
2279742,8.2252859296
2857510,1.0
3484086,1.0
1873994,1.0
2600565,1.0
740366,1.0
856001,1.0
2100218,1.0
57127,1.0
1360129,1.0
1679612,0.6585788562
3467136,0.876501008
2355962,0.7077102385
63110,1.0
1289069,0.6160389761
2363886,1.0
3672528,1.0
99012,1.0
3345235,1.0
3526699,1.0
2268017,1.0
206227,1.0
2991678,1.0
2590169,1.0
2271710,1.0
3426572,1.0
1818047,1.0
1670591,1.0
2357775,1.0
3187287,1.0
3663139,1.3480284535
3258699,1.0
3544517,1.3389951089
3391224,1.0
64785,1.0
492883,1.0
3489728,0.7784607302
3511083,0.8812125485
2495186,1.0
3148225,1.4524629693
1980256,1.0
3443274,1.0
1508660,7.7916118421
3400514,0.863632438
47794,1.0
484449,1.0
3367395,1.0
2788668,1.0
1702433,1.0
3689284,1.0
1819535,1.2827050998
1309116,1.0
3468543,0.7816659321
3691757,1.0
2221912,0.6597260274
1252064,1.0
2799666,1.0
3180993,0.8488243782
233946,1.0
2415786,1.0
3423520,1.0
2517079,1.0
912317,1.0
3441291,19.1938889366
260042,1.0
3377347,0.8637070306
2410953,1.0
1903204,0.6393765675
1956565,1.0
130741,1.0
3107914,0.8442380751
1503773,1.0
3661698,0.7655052575
3172893,1.0
3475646,0.8753501401
3552245,1.0
1271552,1.0
1088303,1.0
3003106,1.0
2885402,0.8762705924
1002669,0.5885592598
357472,1.0
1919954,0.6387837838
2206566,1.0
526218,1.0
3295387,1.3296850196
202720,1.0
3545984,1.0
152349,1.0
332106,1.0
1622448,1.0
3655938,1.0
1550417,1.0
2142033,0.6487425697
810459,1.102189781
1021973,1.0
172198,1.0
3518300,6.5516363955
2168798,0.9325748391
1922124,0.8914244963
3664617,0.7558653761
521274,1.0
118733,1.0
2869272,0.7819874631
3308137,0.7150174811
2503400,1.3003400752
3339154,1.0
3483542,0.7816659321
1744931,1.0
3491796,1.4228294403
3382798,1.3596528911
3430537,1.0
1766966,1.0
3264455,1.0
1354634,1.0
3475653,1.0
2825009,1.0
3269291,1.0
2863946,1.0
3058693,1.0
2325924,0.748337527
80955,1.0
3312013,8.4970932613
1984839,1.0
2475748,1.0
3037150,1.0
3456362,0.7798998446
211349,1.0
2397557,1.0
1948506,1.0
3694129,1.0
2241919,0.76736679
2235557,0.6741526591
2283646,1.4521715228
515769,1.0
3696357,1.0
3516113,1.0
3169083,1.0
3688148,1.0
3320621,1.0
364354,1.0
3205157,1.0
2530445,1.0
1613998,0.6332428409
3668614,0.8954956568
1945072,1.0
616577,1.0
3440101,1.0
1151071,1.0
1070542,1.0
3651990,1.0
2312907,0.6894456763
579548,0.6474203338
3365001,0.7524786325
2965356,0.7758478081
1076565,1.0
3664445,1.0
671198,0.6183991307
2704239,1.0
704707,1.0
961974,1.0
3473593,7.8325401022
3552410,1.0
3266685,1.0
511015,1.0
3145802,0.7548805637
625643,1.0
2320715,1.0
1652407,1.0
1210628,1.0
1695771,1.0
3376811,1.0
2045522,1.0
3111167,1.0
3213949,1.0
2892029,0.8014807959
3321436,1.0
665963,1.0
8634,1.0
3028961,1.0
3500068,1.0
3476395,1.0
679803,1.0
2061451,1.0
2167938,1.0
211595,1.0
3031027,1.0
